Name,Age,Potential,Body Type,Value,Wage
L. Messi,31,94,Messi,110500000.00,565000.00
Cristiano Ronaldo,33,94,C. Ronaldo,77000000.00,405000.00
Neymar Jr,26,93,Neymar,118500000.00,290000.00
De Gea,27,93,Lean,72000000.00,260000.00
K. De Bruyne,27,92,Normal,102000000.00,355000.00
E. Hazard,27,91,Normal,93000000.00,340000.00
L. Modrić,32,91,Lean,67000000.00,420000.00
L. Suárez,31,91,Normal,80000000.00,455000.00
Sergio Ramos,32,91,Normal,51000000.00,380000.00
J. Oblak,25,93,Normal,68000000.00,94000.00
R. Lewandowski,29,90,Normal,77000000.00,205000.00
T. Kroos,28,90,Normal,76500000.00,355000.00
D. Godín,32,90,Lean,44000000.00,125000.00
David Silva,32,90,Normal,60000000.00,285000.00
N. Kanté,27,90,Lean,63000000.00,225000.00
P. Dybala,24,94,Normal,89000000.00,205000.00
H. Kane,24,91,Normal,83500000.00,205000.00
A. Griezmann,27,90,Lean,78000000.00,145000.00
M. ter Stegen,26,92,Normal,58000000.00,240000.00
T. Courtois,26,90,Courtois,53500000.00,240000.00
Sergio Busquets,29,89,Lean,51500000.00,315000.00
E. Cavani,31,89,Lean,60000000.00,200000.00
M. Neuer,32,89,Normal,38000000.00,130000.00
S. Agüero,30,89,Stocky,64500000.00,300000.00
G. Chiellini,33,89,Normal,27000000.00,215000.00
K. Mbappé,19,95,Lean,81000000.00,100000.00
M. Salah,26,89,PLAYER_BODY_TYPE_25,69500000.00,255000.00
Casemiro,26,90,Normal,59500000.00,285000.00
J. Rodríguez,26,89,Normal,69500000.00,315000.00
L. Insigne,27,88,Normal,62000000.00,165000.00
Isco,26,91,Normal,73500000.00,315000.00
C. Eriksen,26,91,Lean,73500000.00,205000.00
Coutinho,26,89,Normal,69500000.00,340000.00
P. Aubameyang,29,88,Lean,59000000.00,265000.00
M. Hummels,29,88,Normal,46000000.00,160000.00
Marcelo,30,88,Normal,43000000.00,285000.00
G. Bale,28,88,Lean,60000000.00,355000.00
H. Lloris,31,88,Lean,36000000.00,150000.00
G. Higuaín,30,88,Normal,57000000.00,245000.00
Thiago Silva,33,88,Normal,24000000.00,165000.00
S. Handanovič,33,88,Normal,30000000.00,110000.00
G. Buffon,40,88,Normal,4000000.00,77000.00
S. Umtiti,24,92,Normal,57000000.00,205000.00
M. Icardi,25,90,Normal,64500000.00,130000.00
K. Koulibaly,27,90,Normal,51000000.00,115000.00
P. Pogba,25,91,Normal,64000000.00,210000.00
K. Navas,31,87,Normal,30500000.00,195000.00
R. Lukaku,25,89,Stocky,62500000.00,230000.00
C. Immobile,28,87,Normal,52000000.00,115000.00
Jordi Alba,29,87,Normal,38000000.00,250000.00
D. Mertens,31,87,Normal,45000000.00,135000.00
J. Vertonghen,31,87,Normal,34000000.00,155000.00
M. Hamšík,30,87,Normal,46500000.00,125000.00
I. Rakitić,30,87,Normal,46500000.00,260000.00
Piqué,31,87,Normal,34000000.00,240000.00
L. Sané,22,92,Lean,61000000.00,195000.00
Bernardo Silva,23,91,Lean,59500000.00,180000.00
Ederson,24,90,Normal,41500000.00,125000.00
S. Mané,26,87,Lean,52000000.00,195000.00
V. van Dijk,26,88,Normal,44500000.00,165000.00
R. Sterling,23,89,Lean,56500000.00,195000.00
