"id","name","age","potential","body_type","value","wage"
"1","L. Messi","31","94","Messi","110500000","565000"
"2","Cristiano Ronaldo","33","94","C. Ronaldo","77000000","405000"
"3","Neymar Jr","26","93","Neymar","118500000","290000"
"4","De Gea","27","93","Lean","72000000","260000"
"5","K. De Bruyne","27","92","Normal","102000000","355000"
"6","E. Hazard","27","91","Normal","93000000","340000"
"7","L. Modrić","32","91","Lean","67000000","420000"
"8","L. Suárez","31","91","Normal","80000000","455000"
"9","Sergio Ramos","32","91","Normal","51000000","380000"
"10","J. Oblak","25","93","Normal","68000000","94000"
"11","R. Lewandowski","29","90","Normal","77000000","205000"
"12","T. Kroos","28","90","Normal","76500000","355000"
"13","D. Godín","32","90","Lean","44000000","125000"
"14","David Silva","32","90","Normal","60000000","285000"
"15","N. Kanté","27","90","Lean","63000000","225000"
"16","P. Dybala","24","94","Normal","89000000","205000"
"17","H. Kane","24","91","Normal","83500000","205000"
"18","A. Griezmann","27","90","Lean","78000000","145000"
"19","M. ter Stegen","26","92","Normal","58000000","240000"
"20","T. Courtois","26","90","Courtois","53500000","240000"
"21","Sergio Busquets","29","89","Lean","51500000","315000"
"22","E. Cavani","31","89","Lean","60000000","200000"
"23","M. Neuer","32","89","Normal","38000000","130000"
"24","S. Agüero","30","89","Stocky","64500000","300000"
"25","G. Chiellini","33","89","Normal","27000000","215000"
"26","K. Mbappé","19","95","Lean","81000000","100000"
"27","M. Salah","26","89","PLAYER_BODY_TYPE_25","69500000","255000"
"28","Casemiro","26","90","Normal","59500000","285000"
"29","J. Rodríguez","26","89","Normal","69500000","315000"
"30","L. Insigne","27","88","Normal","62000000","165000"
"31","Isco","26","91","Normal","73500000","315000"
"32","C. Eriksen","26","91","Lean","73500000","205000"
"33","Coutinho","26","89","Normal","69500000","340000"
"34","P. Aubameyang","29","88","Lean","59000000","265000"
"35","M. Hummels","29","88","Normal","46000000","160000"
"36","Marcelo","30","88","Normal","43000000","285000"
"37","G. Bale","28","88","Lean","60000000","355000"
"38","H. Lloris","31","88","Lean","36000000","150000"
"39","G. Higuaín","30","88","Normal","57000000","245000"
"40","Thiago Silva","33","88","Normal","24000000","165000"
"41","S. Handanovič","33","88","Normal","30000000","110000"
"42","G. Buffon","40","88","Normal","4000000","77000"
"43","S. Umtiti","24","92","Normal","57000000","205000"
"44","M. Icardi","25","90","Normal","64500000","130000"
"45","K. Koulibaly","27","90","Normal","51000000","115000"
"46","P. Pogba","25","91","Normal","64000000","210000"
"47","K. Navas","31","87","Normal","30500000","195000"
"48","R. Lukaku","25","89","Stocky","62500000","230000"
"49","C. Immobile","28","87","Normal","52000000","115000"
"50","Jordi Alba","29","87","Normal","38000000","250000"
"51","D. Mertens","31","87","Normal","45000000","135000"
"52","J. Vertonghen","31","87","Normal","34000000","155000"
"53","M. Hamšík","30","87","Normal","46500000","125000"
"54","I. Rakitić","30","87","Normal","46500000","260000"
"55","Piqué","31","87","Normal","34000000","240000"
"56","L. Sané","22","92","Lean","61000000","195000"
"57","Bernardo Silva","23","91","Lean","59500000","180000"
